effective_date,provider_slug,model_slug,pricing_type,price_per_1m_input_usd,price_per_1m_output_usd,price_per_1m_cached_input_usd,context_window,creator,provider,model,source_url,last_updated,flags
2026-06-09,groq,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Groq,GPT-OSS-120B,https://groq.com/pricing,2026-06-09T19:02:33.754693+00:00,
2026-06-09,hyperstack,gpt-oss-120b,standard,0.1,0.4,,128000,OpenAI,Hyperstack,GPT-OSS-120B,https://www.hyperstack.cloud/ai-studio,2026-06-09T21:01:10.526959+00:00,
2026-06-10,anthropic,claude-opus-4-5,batch,2.5,12.5,,200000,Anthropic,Anthropic,Claude Opus 4.5,https://www.anthropic.com/pricing,2026-06-10T07:01:39.171264+00:00,
2026-06-10,anthropic,claude-opus-4-5,standard,5,25,,200000,Anthropic,Anthropic,Claude Opus 4.5,https://www.anthropic.com/pricing,2026-06-10T07:01:39.133325+00:00,
2026-06-10,aws,claude-opus-4-5,batch,2.75,13.75,,200000,Anthropic,Amazon AWS,Claude Opus 4.5,https://aws.amazon.com/bedrock/pricing/,2026-06-10T05:00:35.894007+00:00,
2026-06-10,aws,claude-opus-4-5,standard,5.5,27.5,,200000,Anthropic,Amazon AWS,Claude Opus 4.5,https://aws.amazon.com/bedrock/pricing/,2026-06-10T05:00:35.870430+00:00,
2026-06-10,aws,gpt-oss-120b,batch,0.07,0.3,,128000,OpenAI,Amazon AWS,GPT-OSS-120B,https://aws.amazon.com/bedrock/pricing/,2026-06-10T05:00:35.087119+00:00,
2026-06-10,aws,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Amazon AWS,GPT-OSS-120B,https://aws.amazon.com/bedrock/pricing/,2026-06-10T05:00:34.172676+00:00,
2026-06-10,deep-infra,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Deep Infra,GPT-OSS-120B,https://deepinfra.com/pricing,2026-06-10T05:00:19.470786+00:00,
2026-06-10,fireworks-ai,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Fireworks AI,GPT-OSS-120B,https://fireworks.ai/models?modelTypes=Serverless,2026-06-10T17:01:25.853082+00:00,
2026-06-10,groq,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Groq,GPT-OSS-120B,https://groq.com/pricing,2026-06-10T21:01:14.008308+00:00,
2026-06-10,hyperstack,gpt-oss-120b,standard,0.1,0.4,,128000,OpenAI,Hyperstack,GPT-OSS-120B,https://www.hyperstack.cloud/ai-studio,2026-06-10T23:01:16.809317+00:00,
2026-06-10,ionet,gpt-oss-120b,standard,0.178,0.68,0.089,128000,OpenAI,IO.NET,GPT-OSS-120B,https://io.net/intelligence,2026-06-10T05:00:25.954370+00:00,
2026-06-10,openrouter,claude-opus-4-5,standard,5,25,0.5,200000,Anthropic,OpenRouter,Claude Opus 4.5,https://openrouter.ai/pricing,2026-06-10T05:00:34.492045+00:00,
2026-06-10,openrouter,gpt-oss-120b,standard,0.039,0.18,,128000,OpenAI,OpenRouter,GPT-OSS-120B,https://openrouter.ai/pricing,2026-06-10T05:00:35.833595+00:00,
2026-06-10,scaleway,gpt-oss-120b,standard,0.1736,0.6944,,128000,OpenAI,Scaleway,GPT-OSS-120B,https://www.scaleway.com/en/pricing/model-as-a-service/,2026-06-10T05:01:31.364892+00:00,
2026-06-10,together-ai,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Together AI,GPT-OSS-120B,https://www.together.ai/pricing,2026-06-10T05:01:44.601064+00:00,
